query,domain,domain_architecture,protein_id,length,domain_count
tr|G0RQN9|G0RQN9_HYPJQ,['GH35'],GH35,tr|G0RQN9|G0RQN9_HYPJQ,1023,1
tr|G0RKB9|G0RKB9_HYPJQ,['GT90'],GT90,tr|G0RKB9|G0RKB9_HYPJQ,978,1
tr|G0RGK8|G0RGK8_HYPJQ,['GH31_1'],GH31_1,tr|G0RGK8|G0RGK8_HYPJQ,964,1
tr|G0RV96|G0RV96_HYPJQ,['GH2_13'],GH2_13,tr|G0RV96|G0RV96_HYPJQ,938,1
tr|G0R900|G0R900_HYPJQ,['AA2'],AA2,tr|G0R900|G0R900_HYPJQ,927,1
tr|G0RG36|G0RG36_HYPJQ,['GH2_13'],GH2_13,tr|G0RG36|G0RG36_HYPJQ,927,1
tr|G0RN27|G0RN27_HYPJQ,['GH3'],GH3,tr|G0RN27|G0RN27_HYPJQ,927,1
tr|G0RH14|G0RH14_HYPJQ,['GH2_16'],GH2_16,tr|G0RH14|G0RH14_HYPJQ,892,1
tr|G0RWC5|G0RWC5_HYPJQ,['GH31_1'],GH31_1,tr|G0RWC5|G0RWC5_HYPJQ,891,1
tr|G0RJ07|G0RJ07_HYPJQ,['GH3'],GH3,tr|G0RJ07|G0RJ07_HYPJQ,874,1
tr|G0RHL2|G0RHL2_HYPJQ,['GH81'],GH81,tr|G0RHL2|G0RHL2_HYPJQ,863,1
tr|G0RV49|G0RV49_HYPJQ,['GH67'],GH67,tr|G0RV49|G0RV49_HYPJQ,847,1
tr|G0RIK4|G0RIK4_HYPJQ,['GH92'],GH92,tr|G0RIK4|G0RIK4_HYPJQ,819,1
tr|G0RHR0|G0RHR0_HYPJQ,['GH63'],GH63,tr|G0RHR0|G0RHR0_HYPJQ,815,1
tr|G0R911|G0R911_HYPJQ,['GH92'],GH92,tr|G0R911|G0R911_HYPJQ,807,1
tr|G0RVA4|G0RVA4_HYPJQ,['GH92'],GH92,tr|G0RVA4|G0RVA4_HYPJQ,804,1
tr|G0RHI2|G0RHI2_HYPJQ,['GH55_2'],GH55_2,tr|G0RHI2|G0RHI2_HYPJQ,800,1
tr|G0RG23|G0RG23_HYPJQ,['GH3'],GH3,tr|G0RG23|G0RG23_HYPJQ,797,1
tr|G0RF26|G0RF26_HYPJQ,['GH95'],GH95,tr|G0RF26|G0RF26_HYPJQ,794,1
tr|G0RQ18|G0RQ18_HYPJQ,['GH92'],GH92,tr|G0RQ18|G0RQ18_HYPJQ,794,1
tr|G0RA48|G0RA48_HYPJQ,['GH92'],GH92,tr|G0RA48|G0RA48_HYPJQ,793,1
tr|G0RTX6|G0RTX6_HYPJQ,['PL8_4'],PL8_4,tr|G0RTX6|G0RTX6_HYPJQ,782,1
tr|G0RDY1|G0RDY1_HYPJQ,['GH3'],GH3,tr|G0RDY1|G0RDY1_HYPJQ,781,1
tr|G0RBQ3|G0RBQ3_HYPJQ,['GH92'],GH92,tr|G0RBQ3|G0RBQ3_HYPJQ,778,1
tr|G0RVI8|G0RVI8_HYPJQ,['GH92'],GH92,tr|G0RVI8|G0RVI8_HYPJQ,777,1
tr|G0RJ25|G0RJ25_HYPJQ,['GH55_2'],GH55_2,tr|G0RJ25|G0RJ25_HYPJQ,776,1
tr|G0RF07|G0RF07_HYPJQ,['GH3'],GH3,tr|G0RF07|G0RF07_HYPJQ,765,1
tr|G0R927|G0R927_HYPJQ,['GH55_2'],GH55_2,tr|G0R927|G0R927_HYPJQ,764,1
tr|G0RBF9|G0RBF9_HYPJQ,['GH55_2'],GH55_2,tr|G0RBF9|G0RBF9_HYPJQ,764,1
tr|G0RX78|G0RX78_HYPJQ,['GH55'],GH55,tr|G0RX78|G0RX78_HYPJQ,763,1
tr|G0RVM4|G0RVM4_HYPJQ,['GH89'],GH89,tr|G0RVM4|G0RVM4_HYPJQ,762,1
tr|G0RMR0|G0RMR0_HYPJQ,['GH55'],GH55,tr|G0RMR0|G0RMR0_HYPJQ,759,1
tr|G0RCY3|G0RCY3_HYPJQ,['GH89'],GH89,tr|G0RCY3|G0RCY3_HYPJQ,747,1
tr|G0RVT1|G0RVT1_HYPJQ,['GH36'],GH36,tr|G0RVT1|G0RVT1_HYPJQ,746,1
tr|G0RG24|G0RG24_HYPJQ,['GH3'],GH3,tr|G0RG24|G0RG24_HYPJQ,744,1
tr|G0RTV1|G0RTV1_HYPJQ,['GH95'],GH95,tr|G0RTV1|G0RTV1_HYPJQ,716,1
tr|G0RF80|G0RF80_HYPJQ,['GH78'],GH78,tr|G0RF80|G0RF80_HYPJQ,697,1
tr|G0RRG0|G0RRG0_HYPJQ,['GH37'],GH37,tr|G0RRG0|G0RRG0_HYPJQ,686,1
tr|G0RFP4|G0RFP4_HYPJQ,['GH20'],GH20,tr|G0RFP4|G0RFP4_HYPJQ,684,1
tr|G0R8D1|G0R8D1_HYPJQ,['AA1_2'],AA1_2,tr|G0R8D1|G0R8D1_HYPJQ,631,1
tr|G0RVN2|G0RVN2_HYPJQ,['GH27'],GH27,tr|G0RVN2|G0RVN2_HYPJQ,624,1
tr|G0RAG7|G0RAG7_HYPJQ,['AA1'],AA1,tr|G0RAG7|G0RAG7_HYPJQ,623,1
tr|G0RW85|G0RW85_HYPJQ,['AA1'],AA1,tr|G0RW85|G0RW85_HYPJQ,623,1
tr|G0RG35|G0RG35_HYPJQ,['GH27'],GH27,tr|G0RG35|G0RG35_HYPJQ,621,1
tr|G0RG98|G0RG98_HYPJQ,['GH2_18'],GH2_18,tr|G0RG98|G0RG98_HYPJQ,616,1
tr|G0R9J5|G0R9J5_HYPJQ,['AA1'],AA1,tr|G0R9J5|G0R9J5_HYPJQ,610,1
